subject,predicate,object
https://example.org/woolf/org/hogarth-press,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://schema.org/Organization
https://example.org/woolf/person/virginia-woolf,http://xmlns.com/foaf/0.1/depiction,https://example.org/woolf/resource/portrait-woolf-1902
https://example.org/woolf/resource/1928-diary-facsimile,https://schema.org/contentUrl,Diaries-1928.jpg
https://example.org/woolf/org/hogarth-press,https://schema.org/location,https://example.org/woolf/place/london
https://example.org/woolf/resource/fig-ro-page1,http://www.w3.org/2000/01/rdf-schema#seeAlso,https://cudl.lib.cam.ac.uk/view/MS-FITZWILLIAM-00001-01942/4
https://example.org/woolf/work/a-room-of-one-s-own,https://schema.org/locationCreated,https://example.org/woolf/place/london
https://example.org/woolf/work/mrs-dalloway,http://purl.org/dc/terms/date,1925
https://example.org/woolf/place/london,https://schema.org/name,London
https://example.org/woolf/resource/fig-lh-page1,http://purl.org/dc/terms/title,"Manuscript Page 1 of ""To the Lighthouse"""
https://example.org/woolf/person/virginia-woolf,https://schema.org/name,Virginia Woolf
https://example.org/woolf/resource/portrait-woolf-1902,http://www.w3.org/2000/01/rdf-schema#seeAlso,https://commons.wikimedia.org/wiki/File:George_Charles_Beresford_-_Virginia_Woolf_in_1902_-_Restoration.jpg
https://example.org/woolf/work/orlando-a-biography,http://purl.org/dc/terms/publisher,https://example.org/woolf/org/hogarth-press
https://example.org/woolf/work/mrs-dalloway,http://purl.org/dc/terms/title,Mrs. Dalloway
https://example.org/woolf/resource/fig-lh-page2,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.woolfonline.com/?node=content/image/gallery&project=1&parent=2&taxa=6&content=335&pos=3
https://example.org/woolf/resource/fig-lh-page1,http://purl.org/dc/terms/description,"This manuscript page represents an early draft of ""To the Lighthouse"". It reveals"
https://example.org/woolf/resource/fig-ro-page1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.europeana.eu/schemas/edm/WebResource
https://example.org/woolf/place/stives,http://www.w3.org/2003/01/geo/wgs84_pos#long,-5.4875
https://example.org/woolf/film/the-hours-virginia-woolf-s-modern-echo,http://purl.org/dc/terms/title,The Hours: Virginia Woolf’s Modern Echo
https://example.org/woolf/place/stives,http://www.w3.org/2002/07/owl#sameAs,https://www.wikidata.org/wiki/Q724182
https://example.org/woolf/work/to-the-lighthouse,http://www.w3.org/2000/01/rdf-schema#seeAlso,https://dbpedia.org/page/To_the_Lighthouse
https://example.org/woolf/work/the-diary-of-virginia-woolf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://schema.org/Collection
https://example.org/woolf/work/orlando-a-biography,https://schema.org/creator,https://example.org/woolf/person/virginia-woolf
https://example.org/woolf/resource/1928-diary-facsimile,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.europeana.eu/schemas/edm/WebResource
https://example.org/woolf/work/mrs-dalloway,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://schema.org/Book
https://example.org/woolf/film/the-hours-virginia-woolf-s-modern-echo,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://schema.org/Movie
https://example.org/woolf/work/orlando-a-biography,https://schema.org/contentLocation,https://example.org/woolf/place/london
https://example.org/woolf/work/a-room-of-one-s-own,https://example.org/woolf-ontology#hasManuscript,https://example.org/woolf/resource/fig-ro-page2
https://example.org/woolf/resource/fig-ro-page1,http://purl.org/dc/terms/title,"Manuscript Page 1 of ""A Room of One's Own"""
https://example.org/woolf/place/london,http://www.w3.org/2003/01/geo/wgs84_pos#lat,51.50853
https://example.org/woolf/person/virginia-woolf,https://schema.org/birthPlace,https://example.org/woolf/place/london
https://example.org/woolf/resource/fig-lh-page2,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.europeana.eu/schemas/edm/WebResource
https://example.org/woolf/work/to-the-lighthouse,http://purl.org/dc/terms/date,1927
https://example.org/woolf/resource/fig-lh-page1,https://schema.org/contentUrl,Manuscript Page 1 of To the Lighthouse.jpg
https://example.org/woolf/org/hogarth-press,http://www.w3.org/2002/07/owl#sameAs,https://en.wikipedia.org/wiki/Hogarth_Press
https://example.org/woolf/work/1928-diary,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://schema.org/CreativeWork
https://example.org/woolf/place/rodmell,http://www.w3.org/2002/07/owl#sameAs,https://www.geonames.org/2639231/
https://example.org/woolf/place/rodmell,https://schema.org/name,Rodmell
https://example.org/woolf/place/london,http://www.w3.org/2002/07/owl#sameAs,https://www.wikidata.org/wiki/Q84
https://example.org/woolf/place/stives,https://schema.org/name,St Ives
https://example.org/woolf/work/to-the-lighthouse,http://purl.org/dc/terms/publisher,https://example.org/woolf/org/hogarth-press
https://example.org/woolf/work/a-room-of-one-s-own,http://purl.org/dc/terms/title,A Room of One's Own
https://example.org/woolf/work/the-diary-of-virginia-woolf,http://purl.org/dc/terms/title,The Diary of Virginia Woolf
https://example.org/woolf/work/orlando-a-biography,https://schema.org/locationCreated,https://example.org/woolf/place/london
https://example.org/woolf/work/mrs-dalloway,http://www.w3.org/2000/01/rdf-schema#seeAlso,https://dbpedia.org/page/Mrs_Dalloway
https://example.org/woolf/org/hogarth-press,https://schema.org/founder,https://example.org/woolf/person/virginia-woolf
https://example.org/woolf/org/hogarth-press,https://schema.org/name,Hogarth Press
https://example.org/woolf/resource/portrait-woolf-1902,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.europeana.eu/schemas/edm/WebResource
https://example.org/woolf/work/a-room-of-one-s-own,http://purl.org/dc/terms/publisher,https://example.org/woolf/org/hogarth-press
https://example.org/woolf/org/hogarth-press,https://schema.org/foundingDate,1917
https://example.org/woolf/work/a-room-of-one-s-own,http://purl.org/dc/terms/date,1935
https://example.org/woolf/work/mrs-dalloway,https://schema.org/creator,https://example.org/woolf/person/virginia-woolf
https://example.org/woolf/work/the-diary-of-virginia-woolf,http://purl.org/dc/terms/hasPart,https://example.org/woolf/work/1928-diary
https://example.org/woolf/work/orlando-a-biography,http://purl.org/dc/terms/title,Orlando: A Biography
https://example.org/woolf/place/stives,http://www.w3.org/2003/01/geo/wgs84_pos#lat,50.20861
https://example.org/woolf/place/rodmell,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://schema.org/Place
https://example.org/woolf/place/stives,http://www.w3.org/2002/07/owl#sameAs,https://www.geonames.org/2638778/
https://example.org/woolf/resource/fig-lh-page2,http://purl.org/dc/terms/description,This page continues the narrative development from the previous manuscript leaf. It highlights
https://example.org/woolf/work/to-the-lighthouse,http://purl.org/dc/terms/title,To the Lighthouse
https://example.org/woolf/person/virginia-woolf,http://www.w3.org/2002/07/owl#sameAs,https://dbpedia.org/page/Virginia_Woolf
https://example.org/woolf/work/orlando-a-biography,http://www.w3.org/2000/01/rdf-schema#seeAlso,https://dbpedia.org/page/Orlando:_A_Biography
https://example.org/woolf/work/a-room-of-one-s-own,https://example.org/woolf-ontology#hasManuscript,https://example.org/woolf/resource/fig-ro-page1
https://example.org/woolf/resource/fig-lh-page2,https://schema.org/contentUrl,Manuscript Page 2 of To the Lighthouse.jpg
https://example.org/woolf/resource/fig-ro-page2,http://purl.org/dc/terms/title,"Manuscript Page 2 of ""A Room of One's Own"""
https://example.org/woolf/resource/fig-lh-page2,http://purl.org/dc/terms/title,"Manuscript Page 2 of ""To the Lighthouse"""
https://example.org/woolf/place/london,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://schema.org/Place
https://example.org/woolf/work/from-the-diary-of-virginia-woolf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://schema.org/MusicComposition
https://example.org/woolf/work/to-the-lighthouse,https://example.org/woolf-ontology#hasManuscript,https://example.org/woolf/resource/fig-lh-page2
https://example.org/woolf/resource/portrait-woolf-1902,http://xmlns.com/foaf/0.1/depicts,https://example.org/woolf/person/virginia-woolf
https://example.org/woolf/work/mrs-dalloway,https://schema.org/contentLocation,https://example.org/woolf/place/london
https://example.org/woolf/resource/fig-ro-page2,https://schema.org/contentUrl,Manuscript Page 2 of A Room of One's Own.jpg
https://example.org/woolf/resource/fig-lh-page1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.europeana.eu/schemas/edm/WebResource
https://example.org/woolf/work/a-room-of-one-s-own,http://www.w3.org/2000/01/rdf-schema#seeAlso,https://dbpedia.org/page/A_Room_of_One's_Own
https://example.org/woolf/resource/1928-diary-facsimile,http://purl.org/dc/terms/title,Manuscript of Virginia Woolf's diary in 1928
https://example.org/woolf/work/1928-diary,https://example.org/woolf-ontology#hasManuscript,https://example.org/woolf/resource/1928-diary-facsimile
https://example.org/woolf/resource/portrait-woolf-1902,http://purl.org/dc/terms/title,Picture of Virginia Woolf in 1902
https://example.org/woolf/resource/fig-lh-page1,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.woolfonline.com/?node=content/image/gallery&project=1&parent=2&taxa=6&content=334&pos=2
https://example.org/woolf/resource/portrait-woolf-1902,https://schema.org/contentUrl,Virginia Woolf in 1902.jpg
https://example.org/woolf/person/virginia-woolf,https://schema.org/birthDate,1882-01-25
https://example.org/woolf/work/to-the-lighthouse,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://schema.org/Book
https://example.org/woolf/resource/fig-ro-page2,http://www.w3.org/2000/01/rdf-schema#seeAlso,https://cudl.lib.cam.ac.uk/view/MS-FITZWILLIAM-00001-01942/6
https://example.org/woolf/resource/1928-diary-facsimile,http://www.w3.org/2000/01/rdf-schema#seeAlso,https://digitalcollections.nypl.org/items/6c46d770-bc67-013b-8012-0242ac110002
https://example.org/woolf/place/london,http://www.w3.org/2003/01/geo/wgs84_pos#long,-0.12574
https://example.org/woolf/work/to-the-lighthouse,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.woolfonline.com
https://example.org/woolf/resource/fig-ro-page1,https://schema.org/contentUrl,Manuscript Page 1 of A Room of One's Own.jpg
https://example.org/woolf/work/1928-diary,http://purl.org/dc/terms/title,1928 Diary
https://example.org/woolf/work/mrs-dalloway,https://schema.org/locationCreated,https://example.org/woolf/place/london
https://example.org/woolf/film/the-hours-virginia-woolf-s-modern-echo,https://schema.org/basedOn,https://example.org/woolf/work/mrs-dalloway
https://example.org/woolf/work/from-the-diary-of-virginia-woolf,http://purl.org/dc/terms/title,From the Diary of Virginia Woolf
https://example.org/woolf/work/orlando-a-biography,http://www.w3.org/2000/01/rdf-schema#seeAlso,https://archive.org/details/orlandobiography0000virg
https://example.org/woolf/work/the-diary-of-virginia-woolf,https://schema.org/creator,https://example.org/woolf/person/virginia-woolf
https://example.org/woolf/place/rodmell,http://www.w3.org/2003/01/geo/wgs84_pos#long,0.01588
https://example.org/woolf/work/a-room-of-one-s-own,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://schema.org/Book
https://example.org/woolf/work/1928-diary,http://www.w3.org/2000/01/rdf-schema#seeAlso,https://digitalcollections.nypl.org/items/6c46d770-bc67-013b-8012-0242ac110002
https://example.org/woolf/place/rodmell,http://www.w3.org/2002/07/owl#sameAs,https://www.wikidata.org/wiki/Q531102
https://example.org/woolf/work/a-room-of-one-s-own,http://www.w3.org/2000/01/rdf-schema#seeAlso,https://archive.org/details/woolf_aroom
https://example.org/woolf/place/stives,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://schema.org/Place
https://example.org/woolf/resource/fig-ro-page1,http://purl.org/dc/terms/description,"This manuscript page represents an early draft of ""A Room of One's Own"". It shows"
https://example.org/woolf/resource/portrait-woolf-1902,http://purl.org/dc/terms/description,This picture of Virginia Woolf was taken by George Charles Beresford in 1902. It is a significant representation of Woolf's early life and career.
